strain_microstrain,tilt_deg,vibration_g,displacement_mm,node1_tilt_resultant,node2_tilt_resultant,node3_tilt_resultant,transient_accel_g,rms_vibration_g,anomaly_score,zone_id,hazard_zone
157.36,0.1,0.0339,0.807,0.03,0.1,0.036,0.0036,0.0339,0.325,0,ZONE_A
903.28,9.109,1.6995,11.69,2.66,9.109,0.958,0.62,1.6995,0.8306,2,ZONE_C
522.2,2.286,0.2266,5.019,0.575,2.286,0.24,0.0915,0.2266,0.5583,1,ZONE_B
932.34,7.38,1.421,17.074,3.515,7.38,1.338,0.807,1.421,0.8446,2,ZONE_C
137.54,0.097,0.0248,0.963,0.019,0.097,0.029,0.0102,0.0248,0.1968,0,ZONE_A
1284.66,8.425,0.9754,10.643,4.339,8.425,0.54,0.7644,0.9754,0.8667,2,ZONE_C
117.85,0.055,0.0257,1.43,0.044,0.055,0.019,0.002,0.0257,0.2388,0,ZONE_A
119.49,0.087,0.0364,1.01,0.018,0.087,0.012,0.0052,0.0364,0.2122,0,ZONE_A
112.75,0.186,0.0486,1.325,0.026,0.186,0.025,0.0184,0.0486,0.2047,0,ZONE_A
600.12,2.632,0.4168,6.0,0.628,2.632,0.231,0.152,0.4168,0.4221,1,ZONE_B
888.89,6.882,1.9228,15.037,3.214,6.882,0.865,1.0776,1.9228,0.8288,2,ZONE_C
187.25,0.171,0.0352,1.289,0.025,0.171,0.043,0.0176,0.0352,0.3255,0,ZONE_A
1074.04,8.906,1.221,15.814,2.41,8.906,1.659,0.867,1.221,0.9899,2,ZONE_C
90.07,0.1,0.021,1.275,0.022,0.1,0.031,0.0042,0.021,0.2719,0,ZONE_A
563.14,2.13,0.4373,4.14,0.617,2.13,0.279,0.2056,0.4373,0.6192,1,ZONE_B
535.58,3.01,0.3413,4.634,0.482,3.01,0.316,0.152,0.3413,0.5346,1,ZONE_B
1192.19,7.377,1.6587,20.784,3.695,7.377,1.352,0.62,1.6587,0.9155,2,ZONE_C
1058.69,6.29,1.3912,13.661,2.95,6.29,1.082,1.0558,1.3912,0.7205,2,ZONE_C
198.26,0.173,0.0383,1.359,0.014,0.173,0.056,0.002,0.0383,0.15,0,ZONE_A
1079.92,8.085,1.9501,12.75,3.11,8.085,1.627,0.9486,1.9501,0.9581,2,ZONE_C
100.04,0.142,0.03,0.729,0.043,0.142,0.016,0.002,0.03,0.2586,0,ZONE_A
167.07,0.154,0.0329,1.059,0.017,0.154,0.021,0.0157,0.0329,0.2375,0,ZONE_A
479.32,2.475,0.4125,4.857,0.672,2.475,0.237,0.1312,0.4125,0.386,1,ZONE_B
973.86,7.854,1.3342,11.696,4.171,7.854,1.477,1.3342,1.3297,0.9801,2,ZONE_C
548.53,2.273,0.3025,5.732,0.686,2.273,0.189,0.1675,0.3025,0.5225,1,ZONE_B
131.69,0.14,0.0107,1.46,0.017,0.14,0.045,0.002,0.0107,0.1888,0,ZONE_A
116.16,0.106,0.0362,1.295,0.044,0.106,0.047,0.0046,0.0362,0.1493,0,ZONE_A
974.65,8.057,1.1332,12.948,2.683,8.057,1.198,1.1006,1.1332,0.9036,2,ZONE_C
132.73,0.17,0.0344,1.255,0.041,0.17,0.024,0.0084,0.0344,0.3011,0,ZONE_A
760.0,9.381,1.8673,21.496,3.083,9.381,1.501,1.1831,1.8673,0.8264,2,ZONE_C
477.33,2.711,0.461,5.925,0.759,2.711,0.225,0.189,0.461,0.4129,1,ZONE_B
149.89,0.15,0.039,1.215,0.031,0.15,0.022,0.0366,0.039,0.2694,0,ZONE_A
149.79,0.136,0.0414,1.193,0.009,0.136,0.024,0.0157,0.0414,0.2266,0,ZONE_A
993.51,5.615,2.0048,9.787,2.925,5.615,1.074,1.1199,2.0048,0.8398,2,ZONE_C
894.26,6.681,1.281,15.4,2.316,6.681,0.844,1.281,1.027,0.7943,2,ZONE_C
156.38,0.081,0.0163,1.476,0.023,0.081,0.021,0.0163,0.0162,0.0647,0,ZONE_A
596.31,2.449,0.5167,5.536,1.016,2.449,0.267,0.2104,0.5167,0.3819,1,ZONE_B
520.77,2.155,0.3446,5.28,0.78,2.155,0.122,0.1297,0.3446,0.5709,1,ZONE_B
750.0,1.806,0.4197,3.544,0.66,1.806,0.255,0.129,0.4197,0.5527,1,ZONE_B
468.43,2.332,0.2356,3.94,0.403,2.332,0.211,0.0861,0.2356,0.6495,1,ZONE_B
146.55,0.141,0.0318,0.808,0.052,0.141,0.048,0.0043,0.0318,0.1297,0,ZONE_A
209.19,0.107,0.0375,1.77,0.015,0.107,0.032,0.002,0.0375,0.0973,0,ZONE_A
101.91,0.073,0.053,1.085,0.01,0.073,0.036,0.053,0.0398,0.1125,0,ZONE_A
554.66,2.445,0.3142,2.549,0.371,2.445,0.268,0.2218,0.3142,0.3877,1,ZONE_B
548.58,2.407,0.2933,7.045,0.603,2.407,0.143,0.1008,0.2933,0.6605,1,ZONE_B
125.33,0.1,0.0529,0.661,0.033,0.1,0.036,0.021,0.0529,0.0857,0,ZONE_A
569.63,1.811,0.3593,4.823,0.49,1.811,0.178,0.1079,0.3593,0.4492,1,ZONE_B
551.82,2.01,0.3796,4.888,0.467,2.01,0.273,0.1147,0.3796,0.388,1,ZONE_B
959.64,8.337,0.9152,22.127,3.542,8.337,1.637,0.9152,0.8979,0.785,2,ZONE_C
577.82,1.942,0.3422,5.363,0.577,1.942,0.289,0.1581,0.3422,0.5889,1,ZONE_B
1084.22,7.784,1.2854,14.402,4.192,7.784,1.524,1.2854,0.9598,0.9205,2,ZONE_C
881.45,8.425,1.2146,12.217,2.17,8.425,1.677,0.62,1.2146,0.8108,2,ZONE_C
382.21,2.785,0.3182,4.445,0.714,2.785,0.187,0.0878,0.3182,0.6733,1,ZONE_B
151.92,0.162,0.0448,1.356,0.031,0.162,0.004,0.0248,0.0448,0.0973,0,ZONE_A
70.41,0.087,0.0359,1.106,0.03,0.087,0.051,0.0119,0.0359,0.2751,0,ZONE_A
889.35,6.683,1.324,12.22,3.617,6.683,1.664,0.6356,1.324,0.7481,2,ZONE_C
886.65,6.051,2.0415,15.009,2.458,6.051,1.474,0.9618,2.0415,0.7836,2,ZONE_C
1065.34,8.167,1.0006,17.74,3.874,8.167,1.653,0.62,1.0006,0.9055,2,ZONE_C
512.05,2.431,0.4103,4.674,0.74,2.431,0.172,0.2084,0.4103,0.481,1,ZONE_B
164.0,0.168,0.0131,1.718,0.056,0.168,0.021,0.0035,0.0131,0.1786,0,ZONE_A
899.94,7.803,1.6736,17.799,3.542,7.803,0.928,0.62,1.6736,0.7427,2,ZONE_C
142.14,0.161,0.0261,1.046,0.019,0.161,0.013,0.0086,0.0261,0.2967,0,ZONE_A
126.58,0.106,0.0483,1.072,0.039,0.106,0.012,0.0107,0.0483,0.2504,0,ZONE_A
1129.41,8.195,1.4259,13.827,3.258,8.195,1.142,0.9097,1.4259,0.9325,2,ZONE_C
158.24,0.142,0.0262,0.37,0.012,0.142,0.009,0.002,0.0262,0.1498,0,ZONE_A
113.88,0.11,0.0213,1.289,0.026,0.11,0.04,0.0194,0.0213,0.3289,0,ZONE_A
353.99,2.383,0.5514,4.883,0.438,2.383,0.259,0.2289,0.5514,0.6351,1,ZONE_B
841.45,8.214,1.5762,16.481,3.208,8.214,1.325,0.62,1.5762,0.7507,2,ZONE_C
1030.63,7.784,1.5522,15.607,3.25,7.784,1.145,0.62,1.5522,0.716,2,ZONE_C
147.41,0.153,0.0527,1.01,0.006,0.153,0.014,0.0527,0.0174,0.0612,0,ZONE_A
1126.52,6.914,1.226,16.826,3.451,6.914,1.417,0.9384,1.226,0.8669,2,ZONE_C
568.99,1.996,0.4889,3.875,0.62,1.996,0.273,0.1267,0.4889,0.6593,1,ZONE_B
1024.42,6.984,1.6781,11.913,3.059,6.984,1.045,0.8857,1.6781,0.9246,2,ZONE_C
1061.3,6.607,1.3265,11.777,3.393,6.607,0.785,0.7306,1.3265,0.9668,2,ZONE_C
1233.7,7.901,1.4211,16.692,2.959,7.901,1.245,1.0501,1.4211,0.8547,2,ZONE_C
67.88,0.144,0.0307,0.624,0.036,0.144,0.046,0.0099,0.0307,0.1336,0,ZONE_A
126.68,0.168,0.03,1.109,0.024,0.168,0.031,0.03,0.0282,0.2281,0,ZONE_A
143.81,0.107,0.0317,0.477,0.015,0.107,0.038,0.0252,0.0317,0.1181,0,ZONE_A
158.44,0.149,0.0368,1.773,0.044,0.149,0.021,0.0062,0.0368,0.2307,0,ZONE_A
584.98,1.749,0.3348,4.211,0.479,1.749,0.283,0.245,0.3348,0.5019,1,ZONE_B
820.54,9.568,1.7733,10.739,3.35,9.568,1.809,1.0467,1.7733,0.8162,2,ZONE_C
1027.72,6.973,1.7646,17.797,2.827,6.973,1.336,0.62,1.7646,0.9019,2,ZONE_C
474.83,2.499,0.3003,5.344,0.486,2.499,0.249,0.08,0.3003,0.5254,1,ZONE_B
702.44,1.979,0.4024,5.772,0.643,1.979,0.363,0.1684,0.4024,0.4198,1,ZONE_B
984.26,7.229,1.4249,14.173,3.066,7.229,1.233,1.3595,1.4249,0.9004,2,ZONE_C
164.61,0.1,0.0443,1.375,0.032,0.1,0.034,0.0062,0.0443,0.2321,0,ZONE_A
497.68,2.429,0.3915,3.512,0.701,2.429,0.241,0.1347,0.3915,0.4364,1,ZONE_B
89.64,0.155,0.043,1.146,0.022,0.155,0.022,0.002,0.043,0.0531,0,ZONE_A
430.62,2.239,0.4113,4.542,0.589,2.239,0.262,0.1903,0.4113,0.3605,1,ZONE_B
1112.53,7.671,1.3707,13.628,4.107,7.671,1.105,1.279,1.3707,0.957,2,ZONE_C
526.23,2.396,0.3167,5.413,0.586,2.396,0.269,0.1192,0.3167,0.5851,1,ZONE_B
170.81,0.134,0.0478,0.364,0.033,0.134,0.014,0.0059,0.0478,0.0744,0,ZONE_A
513.39,2.716,0.2928,6.01,0.446,2.716,0.177,0.1267,0.2928,0.5881,1,ZONE_B
86.55,0.148,0.0492,0.767,0.041,0.148,0.041,0.0033,0.0492,0.18,0,ZONE_A
955.49,7.261,1.576,19.036,3.048,7.261,1.463,0.8558,1.576,0.7764,2,ZONE_C
1070.92,8.516,1.2622,13.429,3.507,8.516,0.799,0.6968,1.2622,0.7426,2,ZONE_C
419.25,3.037,0.2851,4.975,0.672,3.037,0.253,0.1753,0.2851,0.6804,1,ZONE_B
1184.45,7.651,1.1619,10.365,2.603,7.651,1.292,0.7388,1.1619,0.721,2,ZONE_C
1151.75,9.501,1.558,22.822,4.03,9.501,1.276,0.9071,1.558,0.9872,2,ZONE_C
393.7,3.062,0.4059,3.021,0.476,3.062,0.282,0.1067,0.4059,0.4801,1,ZONE_B
413.52,2.238,0.3459,2.93,0.694,2.238,0.409,0.2264,0.3459,0.4371,1,ZONE_B
598.77,2.842,0.3127,5.455,0.49,2.842,0.24,0.205,0.3127,0.4307,1,ZONE_B
399.57,2.035,0.245,5.222,0.603,2.035,0.23,0.2148,0.245,0.4076,1,ZONE_B
130.61,0.162,0.033,1.34,0.047,0.162,0.019,0.0084,0.033,0.2604,0,ZONE_A
153.07,0.171,0.0406,1.795,0.019,0.171,0.026,0.0389,0.0406,0.2001,0,ZONE_A
126.96,0.128,0.0336,1.471,0.031,0.128,0.04,0.0034,0.0336,0.2181,0,ZONE_A
793.74,7.871,2.1542,12.787,3.317,7.871,1.198,0.912,2.1542,0.8068,2,ZONE_C
117.37,0.156,0.0376,1.088,0.021,0.156,0.023,0.002,0.0376,0.0672,0,ZONE_A
1093.11,8.694,1.2822,14.51,3.057,8.694,0.756,0.62,1.2822,0.7335,2,ZONE_C
143.91,0.173,0.0204,1.336,0.038,0.173,0.035,0.0119,0.0204,0.1298,0,ZONE_A
116.98,0.172,0.0301,1.025,0.018,0.172,0.032,0.0127,0.0301,0.0998,0,ZONE_A
484.55,2.325,0.432,4.688,0.561,2.325,0.224,0.1862,0.432,0.4793,1,ZONE_B
989.85,9.479,0.9775,20.621,4.255,9.479,1.171,0.9775,0.9564,0.7486,2,ZONE_C
158.08,0.103,0.0607,0.928,0.014,0.103,0.053,0.0299,0.0607,0.1624,0,ZONE_A
1059.21,7.962,1.8891,18.424,3.47,7.962,1.295,0.6552,1.8891,0.7692,2,ZONE_C
379.79,1.93,0.3887,5.002,0.782,1.93,0.271,0.1332,0.3887,0.3762,1,ZONE_B
1253.11,7.026,2.023,14.243,3.391,7.026,0.671,1.2349,2.023,0.9007,2,ZONE_C
575.19,2.48,0.3202,4.191,0.579,2.48,0.212,0.1606,0.3202,0.4261,1,ZONE_B
1085.66,7.613,1.1766,16.633,4.232,7.613,1.441,1.1766,1.1625,0.986,2,ZONE_C
466.54,2.031,0.4478,2.5,0.558,2.031,0.107,0.171,0.4478,0.5935,1,ZONE_B
111.34,0.144,0.0313,1.101,0.007,0.144,0.021,0.0083,0.0313,0.2483,0,ZONE_A
156.69,0.206,0.049,0.718,0.02,0.206,0.055,0.049,0.0353,0.0947,0,ZONE_A
824.39,6.36,1.3604,8.489,4.06,6.36,0.971,1.1385,1.3604,0.875,2,ZONE_C
106.18,0.143,0.0233,0.752,0.037,0.143,0.02,0.0202,0.0233,0.3121,0,ZONE_A
760.0,7.622,1.1334,17.647,4.055,7.622,1.914,0.7594,1.1334,0.7537,2,ZONE_C
533.45,2.112,0.4706,4.304,0.514,2.112,0.222,0.1094,0.4706,0.4303,1,ZONE_B
135.85,0.191,0.0394,1.006,0.039,0.191,0.033,0.004,0.0394,0.3066,0,ZONE_A
154.13,0.163,0.028,0.974,0.01,0.163,0.036,0.002,0.028,0.1434,0,ZONE_A
693.06,2.223,0.3869,3.545,0.634,2.223,0.202,0.2021,0.3869,0.4467,1,ZONE_B
987.53,7.553,1.2797,23.729,3.336,7.553,1.275,0.7982,1.2797,0.8247,2,ZONE_C
102.4,0.123,0.0642,0.616,0.021,0.123,0.046,0.0107,0.0642,0.2024,0,ZONE_A
422.58,2.207,0.2356,4.549,0.816,2.207,0.306,0.08,0.2356,0.4745,1,ZONE_B
1137.28,8.08,1.4703,11.06,2.282,8.08,1.157,0.7535,1.4703,0.7595,2,ZONE_C
999.13,8.91,1.9872,10.683,3.264,8.91,1.62,1.2601,1.9872,0.8963,2,ZONE_C
866.24,7.446,1.6087,8.1,3.183,7.446,1.516,0.62,1.6087,0.7815,2,ZONE_C
362.05,2.566,0.3864,4.698,0.414,2.566,0.211,0.08,0.3864,0.4432,1,ZONE_B
1076.99,7.657,1.367,14.018,2.525,7.657,0.947,1.367,1.3297,0.7805,2,ZONE_C
403.82,2.217,0.2689,5.514,0.485,2.217,0.192,0.1973,0.2689,0.5629,1,ZONE_B
120.73,0.14,0.0237,0.745,0.031,0.14,0.033,0.003,0.0237,0.2165,0,ZONE_A
943.52,9.648,0.7977,12.464,4.242,9.648,1.146,0.62,0.7977,0.862,2,ZONE_C
975.89,10.892,1.2964,15.431,4.685,10.892,1.044,0.8019,1.2964,0.7631,2,ZONE_C
168.35,0.139,0.0399,1.339,0.008,0.139,0.01,0.0044,0.0399,0.1488,0,ZONE_A
135.54,0.183,0.032,1.331,0.045,0.183,0.028,0.032,0.0101,0.1416,0,ZONE_A
464.75,2.064,0.2755,4.951,0.327,2.064,0.109,0.1995,0.2755,0.3823,1,ZONE_B
918.91,8.086,1.9523,18.946,2.821,8.086,2.186,0.7909,1.9523,0.7883,2,ZONE_C
136.97,0.189,0.0276,1.115,0.011,0.189,0.034,0.0035,0.0276,0.2136,0,ZONE_A
1115.35,6.262,1.4854,11.926,3.668,6.262,0.942,0.8453,1.4854,0.9063,2,ZONE_C
492.86,1.967,0.4595,4.513,0.894,1.967,0.268,0.1706,0.4595,0.6573,1,ZONE_B
169.32,0.127,0.0429,0.491,0.016,0.127,0.042,0.0166,0.0429,0.0795,0,ZONE_A
545.43,2.742,0.3197,5.601,0.708,2.742,0.142,0.2774,0.3197,0.6098,1,ZONE_B
490.65,2.241,0.2808,3.846,0.529,2.241,0.27,0.1399,0.2808,0.5816,1,ZONE_B
172.69,0.116,0.039,1.011,0.032,0.116,0.036,0.0184,0.039,0.0814,0,ZONE_A
411.66,2.197,0.2369,4.222,0.412,2.197,0.183,0.08,0.2369,0.5387,1,ZONE_B
521.37,2.198,0.4164,5.875,0.65,2.198,0.242,0.2358,0.4164,0.6018,1,ZONE_B
360.05,2.108,0.455,6.996,0.536,2.108,0.192,0.08,0.455,0.5895,1,ZONE_B
455.16,2.429,0.4282,5.757,0.501,2.429,0.158,0.08,0.4282,0.4909,1,ZONE_B
84.14,0.084,0.0399,1.568,0.013,0.084,0.015,0.0188,0.0399,0.2492,0,ZONE_A
1149.91,8.123,2.1087,15.426,3.488,8.123,1.094,0.62,2.1087,0.9708,2,ZONE_C
967.04,6.508,0.9725,18.563,2.258,6.508,1.194,0.8253,0.9725,0.7657,2,ZONE_C
668.11,2.555,0.3117,5.223,0.466,2.555,0.239,0.1673,0.3117,0.566,1,ZONE_B
760.0,8.781,1.2721,11.456,3.37,8.781,1.377,0.7334,1.2721,0.779,2,ZONE_C
544.2,2.263,0.3417,4.162,0.771,2.263,0.168,0.2262,0.3417,0.5379,1,ZONE_B
815.4,10.114,1.3882,20.478,3.663,10.114,0.28,1.3882,1.0736,0.9149,2,ZONE_C
498.98,2.39,0.4507,4.484,0.46,2.39,0.303,0.1275,0.4507,0.3813,1,ZONE_B
416.77,2.139,0.4304,2.5,0.673,2.139,0.335,0.08,0.4304,0.5531,1,ZONE_B
775.32,8.516,1.6808,11.26,3.124,8.516,1.021,0.62,1.6808,0.846,2,ZONE_C
320.0,2.533,0.3927,5.07,0.539,2.533,0.406,0.232,0.3927,0.5679,1,ZONE_B
1010.96,9.504,1.6645,20.907,3.046,9.504,1.737,0.6486,1.6645,0.9896,2,ZONE_C
526.5,2.115,0.3338,4.111,0.829,2.115,0.291,0.09,0.3338,0.5248,1,ZONE_B
1013.77,7.929,1.5769,15.292,3.719,7.929,1.169,1.2719,1.5769,0.7398,2,ZONE_C
1229.43,6.264,1.7552,17.841,4.201,6.264,1.084,1.5848,1.7552,0.7219,2,ZONE_C
455.49,1.712,0.3407,4.412,0.572,1.712,0.136,0.1664,0.3407,0.5616,1,ZONE_B
73.63,0.13,0.0422,1.366,0.004,0.13,0.021,0.0021,0.0422,0.1915,0,ZONE_A
942.52,8.305,1.7737,8.1,3.957,8.305,1.172,1.049,1.7737,0.8712,2,ZONE_C
482.58,1.926,0.373,3.949,0.569,1.926,0.151,0.1546,0.373,0.376,1,ZONE_B
130.39,0.128,0.0305,0.919,0.04,0.128,0.037,0.0124,0.0305,0.2322,0,ZONE_A
1122.6,7.172,1.6744,13.766,4.593,7.172,1.303,0.7876,1.6744,0.8253,2,ZONE_C
970.59,6.553,1.0129,9.698,2.728,6.553,1.63,0.9466,1.0129,0.8076,2,ZONE_C
537.31,1.859,0.3243,5.509,0.613,1.859,0.26,0.1984,0.3243,0.4522,1,ZONE_B
925.84,8.465,1.9127,15.458,3.577,8.465,0.802,0.7817,1.9127,0.7136,2,ZONE_C
760.0,6.569,2.1395,13.853,3.666,6.569,1.331,1.8388,2.1395,0.8251,2,ZONE_C
624.18,2.166,0.4103,6.266,0.348,2.166,0.179,0.2413,0.4103,0.6073,1,ZONE_B
61.81,0.075,0.0356,0.751,0.02,0.075,0.013,0.0023,0.0356,0.3226,0,ZONE_A
140.87,0.068,0.044,1.511,0.061,0.068,0.039,0.0093,0.044,0.2686,0,ZONE_A
139.6,0.132,0.0486,1.682,0.028,0.132,0.021,0.0214,0.0486,0.2411,0,ZONE_A
809.81,6.533,1.7335,14.716,1.308,6.533,1.335,0.62,1.7335,0.8337,2,ZONE_C
991.34,8.085,1.2981,19.691,3.566,8.085,1.376,1.2981,1.1494,0.8037,2,ZONE_C
812.32,7.954,1.7432,13.571,2.132,7.954,1.257,1.276,1.7432,0.7874,2,ZONE_C
320.0,2.084,0.2244,6.196,0.591,2.084,0.211,0.1009,0.2244,0.4282,1,ZONE_B
872.6,7.855,1.145,11.505,3.233,7.855,1.208,0.62,1.145,0.9635,2,ZONE_C
170.48,0.107,0.005,1.432,0.025,0.107,0.02,0.0035,0.005,0.3262,0,ZONE_A
429.17,2.35,0.4743,6.033,0.676,2.35,0.069,0.1198,0.4743,0.4682,1,ZONE_B
133.88,0.126,0.028,1.097,0.03,0.126,0.019,0.002,0.028,0.0561,0,ZONE_A
538.38,2.216,0.59,4.42,0.33,2.216,0.224,0.1978,0.59,0.5513,1,ZONE_B
48.87,0.101,0.0247,1.51,0.039,0.101,0.03,0.0183,0.0247,0.0777,0,ZONE_A
320.74,2.979,0.2866,7.558,0.544,2.979,0.272,0.1659,0.2866,0.4335,1,ZONE_B
1248.17,7.224,1.0466,14.757,3.607,7.224,1.278,1.0466,0.9259,0.7393,2,ZONE_C
133.82,0.18,0.0409,1.377,0.039,0.18,0.013,0.0273,0.0409,0.0785,0,ZONE_A
524.72,1.958,0.4684,6.83,0.601,1.958,0.198,0.1744,0.4684,0.3929,1,ZONE_B
596.11,2.242,0.472,5.293,0.574,2.242,0.313,0.1774,0.472,0.6643,1,ZONE_B
515.19,2.834,0.3772,3.633,0.601,2.834,0.245,0.1574,0.3772,0.6693,1,ZONE_B
173.72,0.17,0.038,1.285,0.03,0.17,0.026,0.0041,0.038,0.1895,0,ZONE_A
791.27,7.687,1.3097,14.934,3.173,7.687,1.405,0.7856,1.3097,0.7468,2,ZONE_C
525.16,2.21,0.2973,3.311,0.676,2.21,0.22,0.2397,0.2973,0.6802,1,ZONE_B
530.75,2.257,0.362,4.664,0.646,2.257,0.122,0.2176,0.362,0.5255,1,ZONE_B
169.27,0.144,0.0285,1.186,0.039,0.144,0.028,0.0073,0.0285,0.1419,0,ZONE_A
921.6,9.384,0.9356,18.871,4.123,9.384,1.701,0.9356,0.61,0.8267,2,ZONE_C
1185.15,8.304,1.7797,16.674,4.62,8.304,1.263,1.2604,1.7797,0.9557,2,ZONE_C
1176.71,8.675,1.6188,11.784,3.305,8.675,1.711,0.6344,1.6188,0.7403,2,ZONE_C
160.14,0.153,0.0325,1.274,0.024,0.153,0.031,0.0066,0.0325,0.2247,0,ZONE_A
1172.63,7.923,1.7304,13.776,2.27,7.923,1.163,1.1281,1.7304,0.8588,2,ZONE_C
152.06,0.149,0.0175,1.513,0.019,0.149,0.012,0.0044,0.0175,0.0643,0,ZONE_A
1033.35,7.14,0.9908,13.817,3.599,7.14,1.012,0.7988,0.9908,0.7963,2,ZONE_C
338.92,1.847,0.3158,5.179,0.572,1.847,0.253,0.2047,0.3158,0.6029,1,ZONE_B
896.44,7.545,2.211,15.27,3.435,7.545,1.391,0.62,2.211,0.8103,2,ZONE_C
1189.85,8.54,2.0601,11.532,2.774,8.54,1.349,0.62,2.0601,0.9412,2,ZONE_C
447.26,2.312,0.3687,3.373,0.461,2.312,0.336,0.1782,0.3687,0.5774,1,ZONE_B
142.27,0.155,0.0602,0.94,0.007,0.155,0.034,0.002,0.0602,0.2882,0,ZONE_A
550.87,2.455,0.3474,3.739,0.467,2.455,0.27,0.1646,0.3474,0.5946,1,ZONE_B
592.45,2.482,0.4768,4.339,0.637,2.482,0.098,0.1286,0.4768,0.5327,1,ZONE_B
113.15,0.151,0.0357,0.558,0.021,0.151,0.015,0.0195,0.0357,0.3108,0,ZONE_A
194.42,0.116,0.0321,1.383,0.046,0.116,0.005,0.0219,0.0321,0.0873,0,ZONE_A
159.12,0.11,0.039,1.652,0.028,0.11,0.034,0.0121,0.039,0.263,0,ZONE_A
105.23,0.16,0.0126,0.754,0.026,0.16,0.025,0.0076,0.0126,0.1586,0,ZONE_A
1334.12,8.992,1.6742,15.012,3.902,8.992,1.804,0.7806,1.6742,0.9339,2,ZONE_C
499.49,1.987,0.4391,4.276,0.694,1.987,0.189,0.1647,0.4391,0.5662,1,ZONE_B
320.0,1.881,0.1984,5.91,0.72,1.881,0.135,0.0949,0.1984,0.3782,1,ZONE_B
188.94,0.121,0.0413,0.997,0.029,0.121,0.033,0.015,0.0413,0.0765,0,ZONE_A
124.38,0.16,0.0439,1.34,0.049,0.16,0.013,0.0051,0.0439,0.0584,0,ZONE_A
1127.51,10.181,0.6268,10.936,3.281,10.181,1.184,0.62,0.6268,0.8008,2,ZONE_C
978.72,7.697,1.6013,11.324,1.729,7.697,0.707,0.9052,1.6013,0.781,2,ZONE_C
171.78,0.137,0.0229,1.195,0.011,0.137,0.044,0.0042,0.0229,0.2928,0,ZONE_A
1136.91,5.978,1.2831,14.706,3.699,5.978,1.422,0.62,1.2831,0.8696,2,ZONE_C
536.62,2.521,0.4393,4.872,0.764,2.521,0.11,0.1226,0.4393,0.4076,1,ZONE_B
897.46,6.588,0.9365,22.526,3.558,6.588,1.62,0.6827,0.9365,0.8969,2,ZONE_C
102.05,0.128,0.0449,0.761,0.025,0.128,0.054,0.0054,0.0449,0.2807,0,ZONE_A
456.44,2.197,0.273,3.433,0.557,2.197,0.171,0.247,0.273,0.5725,1,ZONE_B
569.25,2.1,0.3558,5.329,0.485,2.1,0.184,0.2211,0.3558,0.5289,1,ZONE_B
193.99,0.126,0.0245,1.153,0.035,0.126,0.03,0.0245,0.0174,0.1942,0,ZONE_A
1004.95,6.906,1.4006,11.859,2.253,6.906,0.6,0.6805,1.4006,0.743,2,ZONE_C
1008.22,9.278,1.9501,20.645,2.81,9.278,1.579,0.8221,1.9501,0.9302,2,ZONE_C
147.99,0.1,0.0404,1.437,0.047,0.1,0.014,0.0173,0.0404,0.1032,0,ZONE_A
155.41,0.124,0.038,0.918,0.005,0.124,0.06,0.0248,0.038,0.2404,0,ZONE_A
1098.0,7.627,1.5391,15.781,2.866,7.627,0.771,1.3237,1.5391,0.7733,2,ZONE_C
525.73,2.491,0.5064,5.012,0.58,2.491,0.194,0.2411,0.5064,0.4495,1,ZONE_B
606.37,2.611,0.3968,7.504,0.687,2.611,0.171,0.1841,0.3968,0.4407,1,ZONE_B
500.55,2.692,0.3816,7.95,0.562,2.692,0.232,0.1299,0.3816,0.4795,1,ZONE_B
123.75,0.073,0.0338,1.598,0.038,0.073,0.027,0.002,0.0338,0.0619,0,ZONE_A
159.45,0.099,0.03,1.158,0.01,0.099,0.018,0.002,0.03,0.2621,0,ZONE_A
900.15,7.87,1.2293,16.454,4.282,7.87,1.175,0.8492,1.2293,0.7167,2,ZONE_C
93.84,0.13,0.0414,1.125,0.038,0.13,0.027,0.0414,0.0356,0.1396,0,ZONE_A
671.54,2.381,0.4475,4.119,0.567,2.381,0.249,0.2629,0.4475,0.6692,1,ZONE_B
504.14,2.677,0.3388,2.5,0.5,2.677,0.232,0.0906,0.3388,0.5816,1,ZONE_B
150.05,0.246,0.0437,1.38,0.027,0.246,0.042,0.0345,0.0437,0.0534,0,ZONE_A
134.22,0.144,0.0483,1.101,0.016,0.144,0.027,0.0032,0.0483,0.2006,0,ZONE_A
111.11,0.11,0.0417,0.988,0.032,0.11,0.014,0.002,0.0417,0.0728,0,ZONE_A
1130.54,5.532,1.32,10.945,3.105,5.532,0.708,1.32,1.0529,0.8405,2,ZONE_C
362.71,1.849,0.2607,4.541,0.739,1.849,0.277,0.1277,0.2607,0.3775,1,ZONE_B
1139.47,7.134,1.149,15.844,4.03,7.134,1.303,1.149,1.0753,0.7435,2,ZONE_C
387.98,2.419,0.2814,5.032,0.366,2.419,0.118,0.142,0.2814,0.3967,1,ZONE_B
1082.4,5.932,2.1781,18.306,4.269,5.932,0.82,0.62,2.1781,0.8752,2,ZONE_C
515.12,2.024,0.3657,4.047,0.648,2.024,0.138,0.0905,0.3657,0.3651,1,ZONE_B
996.93,8.127,1.6974,11.545,3.297,8.127,1.329,0.8371,1.6974,0.847,2,ZONE_C
566.69,1.722,0.532,4.821,0.565,1.722,0.304,0.1884,0.532,0.4927,1,ZONE_B
